WeekBeginning,RouteID,count
2013-07-14,543,664
2013-07-14,543G,63
2013-07-14,543X,2665
2013-07-14,545,759
2013-07-14,545X,3146
2013-07-14,546,643
2013-07-14,546X,901
2013-07-14,548,2246
2013-07-14,556,4534
2013-07-14,557,4072
2013-07-14,557X,1213
2013-07-14,559,429
2013-07-14,559S,69
2013-07-14,560,3546
2013-07-14,560A,59
2013-07-14,560B,49
2013-07-14,560P,2003
2013-07-14,565,693
2013-07-14,579,180
2013-07-14,580,73
2013-07-14,591A,86
2013-07-14,591C,281
2013-07-14,592,48
2013-07-14,592J,41
2013-07-14,593A,38
2013-07-14,593C,31
2013-07-14,600,1573
2013-07-14,600B,354
2013-07-14,600S,2
2013-07-14,601,798
2013-07-14,601B,19
2013-07-14,605,14
2013-07-14,640,73
2013-07-14,645,1155
2013-07-14,646,870
2013-07-14,681,1488
2013-07-14,681A,23
2013-07-14,682,593
2013-07-14,683,53
2013-07-14,694,11
2013-07-14,719,2674
2013-07-14,720,7870
2013-07-14,720H,2191
2013-07-14,720M,2
2013-07-14,721,3055
2013-07-14,721A,4
2013-07-14,721F,8313
2013-07-14,721L,5
2013-07-14,721R,59
2013-07-14,721X,1766
2013-07-14,722,1273
2013-07-14,722A,12
2013-07-14,722F,5529
2013-07-14,722L,2
2013-07-14,722X,1000
2013-07-14,723F,993
2013-07-14,723X,122
2013-07-14,724,76
2013-07-14,725,2111
2013-07-14,725A,14
2013-07-14,725F,121
2013-07-14,733,5224
2013-07-14,733C,8
2013-07-14,733G,23
2013-07-14,734,4419
2013-07-14,734S,473
2013-07-14,737,434
2013-07-14,740,726
2013-07-14,740A,10
2013-07-14,741,216
2013-07-14,741A,212
2013-07-14,743,2108
2013-07-14,744,205
2013-07-14,745,1085
2013-07-14,745A,214
2013-07-14,745C,23
2013-07-14,747,1021
2013-07-14,747A,139
2013-07-14,747B,26
2013-07-14,749,3592
2013-07-14,749A,119
2013-07-14,749G,478
2013-07-14,750,540
2013-07-14,750A,7
2013-07-14,750B,14
2013-07-14,751,128
2013-07-14,751A,7
2013-07-14,751W,49
2013-07-14,752,213
2013-07-14,752A,38
2013-07-14,753,530
2013-07-14,753A,8
2013-07-14,753H,374
2013-07-14,754,191
2013-07-14,755,10
2013-07-14,820,1378
2013-07-14,820S,205
2013-07-14,823,252
2013-07-14,830F,369
2013-07-14,834,95
2013-07-14,834A,18
2013-07-14,835,262
2013-07-14,837,234
2013-07-14,838,126
2013-07-14,838H,285
2013-07-14,839,451
2013-07-14,839R,12
2013-07-14,840F,927
2013-07-14,841F,680
2013-07-14,842F,1203
2013-07-14,850,18
2013-07-14,852,11
2013-07-14,860F,962
2013-07-14,861,7196
2013-07-14,862,31
2013-07-14,863,571
2013-07-14,863F,849
2013-07-14,864,3422
2013-07-14,864F,6900
2013-07-14,865,580
2013-07-14,865C,2
2013-07-14,866,119
2013-07-14,866R,20
2013-07-14,867,98
2013-07-14,868,93
2013-07-14,893,12
2013-07-14,894,31
2013-07-14,894S,13
2013-07-14,900,147
2013-07-14,914,14
2013-07-14,B1,5
2013-07-14,B10,21854
2013-07-14,B10C,1122
2013-07-14,B10X,825
2013-07-14,B11,255
2013-07-14,B12,865
2013-07-14,C1,14824
2013-07-14,C1G,1843
2013-07-14,C1T,2389
2013-07-14,C1X,1283
2013-07-14,C2,5984
2013-07-14,C2X,3249
2013-07-14,G10,26469
2013-07-14,G10A,2554
2013-07-14,G10B,1842
2013-07-14,G10C,1798
2013-07-14,G20,4688
2013-07-14,G21,3742
2013-07-14,G21H,13
2013-07-14,G21X,356
